Date,Price,Open,High,Low,Vol.,Change %
17-10-2022,394.88,392.79,397.67,391.29,9.54M,-0.04%
18-10-2022,403.01,399.77,405.45,399.47,14.22M,2.06%
19-10-2022,397.82,404.95,405.7,396.08,8.65M,-1.29%
20-10-2022,396.88,395.78,398.67,391.89,10.75M,-0.24%
21-10-2022,396.83,395.78,401.01,393.49,10.28M,-0.01%
24-10-2022,400.36,404.75,404.75,398.92,2.87M,0.89%
25-10-2022,403.31,403.11,409.24,401.96,17.98M,0.73%
27-10-2022,406.45,407.29,410.43,402.76,14.61M,0.78%
28-10-2022,408.64,406.74,409.93,404.85,12.49M,0.54%
31-10-2022,411.48,413.08,415.02,410.33,9.93M,0.70%
01-11-2022,501.3,503,507.9,498.15,16.27M,-0.48%
02-11-2022,498.85,503.25,507,497,13.53M,-1.69%
03-11-2022,418.15,413.6,421.15,407.4,51.51M,-0.35%
04-11-2022,452.05,457,458.9,451,14.34M,0.00%
05-11-2022,388.15,396,397,377.55,29.22M,-0.92%
07-11-2022,435.71,436.7,439.84,432.12,12.62M,-1.02%
08-11-2022,475.18,481.07,483.51,474.14,12.78M,0.23%
10-11-2022,392.14,395.78,398.27,390.1,14.64M,-0.66%
11-11-2022,422.2,418.71,424.19,413.42,19.30M,2.74%
14-11-2022,432.37,422.7,436.35,422.2,18.00M,2.41%
15-11-2022,435.8,433.56,437.15,432.77,10.70M,0.80%
16-11-2022,430.22,435.61,436.85,428.28,8.21M,-1.28%
17-11-2022,421.85,420.7,426.23,418.31,15.62M,-1.95%
18-11-2022,422.5,422.7,425.14,419.86,9.85M,0.15%
21-11-2022,419.8,424.29,426.29,418.71,9.50M,-0.64%
22-11-2022,423.39,419.7,425.09,419.21,6.41M,0.85%
23-11-2022,422.75,425.54,427.98,421.55,6.57M,-0.15%
24-11-2022,422.1,423.19,423.94,419.41,6.77M,-0.15%
25-11-2022,431.87,423.69,433.81,422.7,18.76M,2.31%
28-11-2022,431.92,433.66,438.99,431.07,10.70M,0.01%
29-11-2022,431.82,431.17,436.55,428.23,8.63M,-0.02%
30-11-2022,438.05,433.66,439.64,431.97,14.73M,1.44%
01-12-2022,507.25,505.85,511.85,503.5,16.26M,1.19%
04-12-2022,438.3,450.8,450.8,435,22.70M,-3.04%
05-12-2022,372.3,382,384.65,366.2,33.51M,-4.08%
07-12-2022,429.23,431.67,433.66,426.83,9.52M,-1.49%
08-12-2022,476.08,474.29,479.97,468.55,13.48M,0.19%
09-12-2022,449.61,446.32,451.61,445.63,8.96M,1.14%
10-12-2022,395.33,393.34,396.98,389.9,14.29M,0.81%
12-12-2022,412.88,410.73,415.62,406.74,8.01M,0.21%
13-12-2022,417.21,418.66,420.2,415.97,9.72M,1.05%
14-12-2022,416.61,419.26,420.05,416.07,6.31M,-0.14%
15-12-2022,415.42,417.56,421.5,414.42,7.54M,-0.29%
16-12-2022,420.3,416.07,426.48,411.83,50.95M,1.18%
19-12-2022,416.71,420.6,421.55,414.22,9.81M,-0.85%
20-12-2022,409.24,416.71,416.71,406.74,12.34M,-1.79%
21-12-2022,401.36,411.33,413.13,399.77,11.61M,-1.92%
22-12-2022,393.24,402.86,403.45,389,14.91M,-2.02%
23-12-2022,377.19,388.8,388.8,375.84,19.90M,-4.08%
26-12-2022,383.62,379.08,389.5,374.05,16.98M,1.70%
27-12-2022,392.94,388.8,396.23,387.3,14.37M,2.43%
28-12-2022,390.1,392.79,394.68,389.2,8.44M,-0.72%
29-12-2022,384.71,387.8,388.8,381.87,15.63M,-1.38%
30-12-2022,386.76,389.8,390.99,385.81,9.20M,0.53%
02-01-2023,445.28,455.39,460.08,436.3,23.80M,-1.21%
03-01-2023,424.69,420.2,426.68,420.2,7.60M,1.26%
